Source,Sitename,KA.young,KA.old,date.citation,Arch,Lat,Long,Descr.,Species.attribution,Single.Chain,PU.RM,PU.facetting,PU.faceshaping.rad.,PU.lat.trimming,PU.dist.trimming,PU.back.shaping,PU.cresting,PU.debord,PU.overshot,PU.kombewa,PU.tablet,PU.abrasion,PU.overhang,PU.hard.hammer.percussion,PU.use.of.hand.to.support.percussed.object,PU.use.of.anvil.to.support.percussed.object,PU.core.rotation,PU.Soft,PU.indirect,PU.Flaking.through.pressure,PU.pecking,PU.invasive,PU.ochre,PU.asphalt,PU.retouch,PU.backing,PU.notching,PU.burin,PU.tang,PU.tranchet,PU.rt.bif,PU.rt.invasive,PU.rt..pressure.flake,procedural_units,age_mid_ka,above_noncumulative_baseline
Goren-Inbar et al. 2008,Gesher Benot Ya'aqov,760.0,860.0,Need to double check An Acheulian biface assemblage from Gesher Benot Ya'aqov Israel: indications of African affinities,1,33.04899251,35.52389667,Scrapers on massive flakes,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,810.0,False
Goren-Inbar et al. 2008,Gesher Benot Ya'aqov,760.0,860.0,Need to double check An Acheulian biface assemblage from Gesher Benot Ya'aqov Israel: indications of African affinities,1,32.92078046,35.98440836,Handaxes from kombewa flakes and only handaxes,?,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,810.0,False
Li et al. 2017, Canteen Koppie,800.0,1100.0,,1,-28.49517912,24.53959346,Victoria west type 1 cleaver. Hoenderbek core is centripetally prepared with one preferential removal taken. No retouch afterwards. ,?,Yes,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,950.0,False
Pleurdeau 2006,Porc epic,60.0,80.0,,1,9.509334136,41.90153067,Bifacially retouched points that are unidirectionally flaked made on first scheme cores  that are centripetally prepared  (like Fig. 5.1) fig. 8.,H. sapiens,Yes,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,11,70.0,True
Pleurdeau 2006,Porc epic,60.0,80.0,,1,9.532262551,41.87422173,Scheme 4 blade production where core is prepped with crested blades. Blanks are from bidirectional reduction. Those blanks are backed to form backed pieces. ,H. sapiens,Yes,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,9,70.0,True
Harmand et. al. 2015,Lomekwi 3,3210.0,3330.0,,1,3.758121225,35.71861275,Bipolar unifacial core (LOM3-2012-H18-1 3.45 kg) bipolar technique. Extended Data Fig. 6bÂ for more details.,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3270.0,False
Delagnes and Roche 2005,Lokalalei 2c,2290.0,2390.0,,1,3.930278981,35.78408422,Lokalalei 2c Fig. 6. Refitting group 2 (8 items).,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2340.0,False
Plummer and Bishop 2016,Kanjera,1950.0,2300.0,Plummer et al. 2009. oldest evidenceof toolmaking hominins in a grassland dominated ecosystem,1,0.372988608,34.5347578,Kanjera retouched flakes from centripetal cores Fig 2,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2125.0,False
Diez-Martin et al. 2009,Olduvai Bed II BK,1645.0,1805.0,McHenry et al. 2018. Figure 2,1,-2.964758038,35.34885668,Olduvai Bed II Bifacial multipolar centripetal hierarchized cores from BK 3. Look like recurrent centripetal levallois. ,?,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,1725.0,False
Isaac 1977,Olorgesaillie,500.0,1200.0,,1,-1.650204502,35.99077895,Olorgesaillie Biface with invasive scarring. Plate 59. Tr. Tr. 140-150 floor. ,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,850.0,False
Clark 1971,Starr Carr,10.4,10.7,,1,54.17405651,-0.406907335,backed and burinated bladelets from bladelet cores rejuvinated through debordante ,H. sapiens,Yes,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,12,10.55,True
Barzilai and Ashkenazy 2015,Nahal Sekher VI,11.8,13.6,,1,31.22382691,34.89865207,bifacially Backed lunates made on mbt bladelets struck from single platform cores like those illustrated in figure 15. Though we code facetting as present given their description in the text and in core figure 16.  Rejuvinated with tablets and established with crested bladelets. no debordantes,H. sapiens,Yes,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,14,12.7,True
Stout et al. 2014,Boxgrove,478.0,524.0,,1,50.9026318,-0.679600258,Handaxes with tranchet sharpening knapped with hard and softhammers.Platforms are prepared through facetting but little sign of abrasion and microchipping.,H. heidelbergensis,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,9,501.0,True
Pasda 2017,Munzingen,18.0,20.0,,1,48.05773992,7.693459461,Blades from prepared unidirectional blade cores with nflksrfc prepared platform and face shaped. including microchipping. Fashioned into burinated and retouched pieces. Fig 2. 11 fig 6. 1.Overall not a full description of the reductions equence but rich description of the kinds of artifacts present and some of their relationships. ,H. sapiens,Yes,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,10,19.0,True
Hahn and Owen 1985 ,Geissenklosterle Cave Aurignacian,38.7,41.7,Richter et al. 2000 Thermoluminescenceâ€¦. JAS,1,48.30296531,9.783980104,Aurignacian blade cores in figure 2. Most coding based on description of tech.,H. sapiens,Yes,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,10,40.2,True
Hahn and Owen 1985 ,Geissenklosterle Cave Gravettian,28.75,29.25,Richter et al. 2000 Thermoluminescenceâ€¦. JAS,1,48.44539598,9.776872051,Gravettian blade cores. Most coding based on description. ,H. sapiens,Yes,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,15,29.0,True
Aubrey et al. 2008,Maitreaux ,19.0,21.0,,1,46.75114736,0.936625384,Solutrean points on cobble blanks,H. sapiens,Yes,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,14,20.0,True
Gallotti 2013,Garba Ivd,1458.0,1918.0,,1,8.617386778,38.58594986,Retouched flakes from centripetally prepared cores. flakes with facetted butts. retouched. ,?,Yes,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,1688.0,True
Conard and Adler 1997,Wallertheim West Concentration,92.0,105.0,Conard et al. new geological research at the Middle Paleolithic Locality of Wallertheim in Rheinhessen 1995 ,1,49.84380263,8.066092719,Unidirectional blade production where blades are retouched and burinated. On gray andesite figure 11. Figure 10. discussion in160-,H. neanderthalensis,Yes,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,10,98.5,True
Torre et al. 2008,RHS-Mugulud Peninj,1100.0,1500.0,,1,-2.385975604,35.91940191,Large cutting tool on flake that is retouched through rough facconage. ,?,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,1300.0,False
Villa et al. 2016,Torre in Pietra level M,331.0,359.0,,1,42.28171035,11.74922195,Large cutting tool on a limestone cobble. Figure P. pigorini museum catalogue number 184769,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,345.0,False
Villa et al. 2016,Torre in Pietra level D,240.0,270.0,,1,42.27041015,11.69882027,Levallois flaking no parallel unidirectional,?,Yes,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,255.0,True
Gilbert et al. 2016,Hugub KK51,500.0,600.0,,1,9.835661385,40.09917254,Large cutting tool on a flake. invasive removals. lots of retouch. Facetted butt. likely from prepared core but that part of the chain operatoire was not here. ,?,Yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,550.0,False
Texier 1995,NY 18 Nyabusosi,1500.0,2000.0,,1,0.920518921,30.30666582,Oldowan flake production on prepared radial cores with some evidence for debordante removals. While retouch is described in the paper it isn't clear if the prepared core flakes were retouched. ,?,Yes,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,1750.0,True
Schimelmitz et al. 2011,Qesem Cave,194.0,420.0,Gopher et al. 2010. chronology of late lower pal. in Quaternary Geochron. ,1,31.93370714,34.9704577,Systematic blade production from core prepared with a crest rejuvinated with tablets face is shaped with debordantes. Distal convexities managed with overshot flaking.  Where the product is retouched and burinated.  Based on figure 11. number 4 a prismatic core. ,?,Yes,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,12,307.0,True
Chazan 2001a,La Farressie,26.7,28.7,,1,44.87929346,0.884402172,Bladelet production on a blade whose face is shaped and is invasively flaked. Figure 3. Vachons burin production method. The initial steps of the blade core production are not fully described the platforms are described as well prepared but not specified about whether this involves facetting abrasion. Cresting is present in early stages but in lateral form. ,H. sapiens,Yes,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,12,27.7,True
Fernandez 2005,Cueva Morin levels 9-10,35.0,38.0,,1,43.35916758,-3.896822075,Blade/ Bladelet production on prismatic cores,H. sapiens,Yes,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,13,36.5,True
Chazan 2001b,Hayonim cave level D. ,21.0,30.0,,1,32.89928631,35.28076855,Bladelet production on endscraper on a flake. notched to manage lateral convexities and narrow working surface. step 4 include debordante removals. ,H. sapiens,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,8,25.5,True
Clarkson et a. 2015,Hawaiian adze reconstruction,0.2,0.6,,1,21.17168095,-157.1848414,Quadrangular adze production on flake.   ,H. sapiens,Yes,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,16,0.4,True
Malinsky-Buller et al. 2014,Ein Qashish,55.0,65.0,,1,32.73955054,35.07102206,Blades/bladelets from narrow fronted single platform cores. As in figure 5. With abraded and microchiped platforms. Retouch is conservatively assessed by the authors given taphonomic history of site. So I counted only rt as present no more. ,H. neanderthalensis,Yes,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,13,60.0,True
Shimelmitz and Kuhn 2013,Tabun IX D,231.0,283.0,Mercier et al. 2003. 257 +_ 26,1,32.70109083,34.93118446,"Levallois points from elongated levallois cores through unidirectional convergence method.  Figure 4 shows good example of debordante and facetting plus tablet scars. In text they discuss how distal convexities were sometimes managed from distal removals Debordantes seem to be treated as the same as NBK but not sure. Either way there's discussion of debordants. Really good example of needing a coding system to interpret phrases. ""Maintaining the coreâ€™s distal convexity through intentionally striking over- passing flakes and blades is a delicate business. In some cases small flakes also were removed from the end of the core opposite the main striking platform to help maintain the required distal convexity of core faces.""",?,Yes,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,257.0,True
Spinapolice et al. 2014,Jebel Gharbi SJ-00-58A,27.0,85.0,,1,31.99294674,12.01301276,Aterian tanged flakes made on blade cores. This paper is light on the full details but references boeda to indicate that all steps are present. ,H. sapiens,Yes,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,10,56.0,True
Groucutt 2014,Tor Faraj,50.0,70.0,,1,29.9312407,34.75900402,Levallois points from preferential unidirectional convergent prepared cores. Reported top right of fig 4. Deb. prep of lat margins. overshot of points repreps the distal convexity. Some bidirectional prep /management of disatl convexity that way. Retouch is limited.  no mention of soft. ,?,Yes,0,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,60.0,True
Hublin et al. 1987 and Richter et al. 2017,Jebel Irhoud,281.0,349.0,Richter et al. 2017,1,32.33158513,-9.222535493,"preferential levallois points lots of preparation trimming of lateral and distal convexities no mention of debordantes no soft hammer percussion. Invasive retouch. removal of butt. Lots of color in the description of the tech. On soft hammer: "" Il n'y a qu'un Ã©clat pouvant avoir Ã©tÃ© dÃ©bitÃ© au percuteur tendre... donc il n'y en a pas ! "". No cores. ",H. sapiens,Yes,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,8,315.0,True
Wilkins and Chazan 2012,Kathu Pan 1,464.0,682.0,,1,-27.56813721,23.01753828,Blades made on levallois cores. retouched,?,Yes,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,573.0,True
Coutouly 2017,Amakomanak,9.4,9.6,,1,66.951504,-156.75794,Microblade manufacture. inferred from description in text and based on figure 4. microblade core number 21976. ,H. sapiens,Yes,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,9.5,True
Wilson et al. 2011,High River,8.0,9.0,,1,50.66351438,-113.7973789,Marlan's F1 sequence 1970. Microblade reduction figure 5 core 3 in 2011 text.,H. sapiens,Yes,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,13,8.5,True
Desrosiers and Gendron 2004,GhGk-63,1.6,2.1,,1,55.31992755,-77.77366168,Microblade manufacture then retouched into point. for example figure 5.5,H. sapiens,Yes,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,17,1.85,True
Rankama and Kankaanpaa 2011,Sujula,9.7,10.5,,1,69.87114717,27.29129561,Blade manufacture on carefully prepared blade cores bifacial crest no debordantes mentioned. abrasion and microchipping (described as core edge trimming flakes) of platform are nearly universal. NO flake tech here. core tablets and distal convexity management are common. RT coded as pieces with backing and burination. ,H. sapiens,Yes,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,19,10.1,True
Paige 2022,Reeve Ranch Ruin,0.6,0.7,,1,32.38340152,-110.4835257,Bipolar percussion of obsidian cobble some of those bipolar flakes are set aside platforms abraded pressure flaked to form arrowheads with tangs. ,H. sapiens,Yes,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,9,0.6499999999999999,True
Paige 2022 and Lagarde and Sand 2013,WKO013A,2.15,3.0,,1,-21.05790105,164.8818468,Conical and biconical discoid core reduction without platform preparation. Likely soft hammer included. Flakes have removals across ventral and along lateral margins often. ,H. sapiens,Yes,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,9,2.575,True
Adler et al. 2014,Nor Geghi 1,304.0,435.0,,1,40.26500673,44.58404864,Preferential levallois points made on cores on flakes. Debord is described as present but in my classification these are lateral trimming flakes. Flakes are facetted. The assembalge is heavily patinated and worn so less clear about association between pref levall and retouch. Scrapers are common though/ ,?,Yes,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,10,369.5,True
Dietler 2003,China Harbor,0.1,0.8,Dietler 2003:63. also cites Arnold 1987a:184-185,1,33.91110744,-119.6088387,Microblade manufacture on amorphous core.  Figure 7 of Dietler 2003 thesis with bevelled platform preparation. fig 8. on core on flake. ,H. sapiens,Yes,0,1,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0.45,True
Cassidy et al. 2014,Eel Point early,7.95,8.55,,1,32.61064248,-118.2005715,Wedge shaped microblade core in figure 6a. ,H. sapiens,Yes,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,10,8.25,True
Pavlides and Kennedy 2007,GAC Layers 1-3,2.0,4.4,Kennedy 1983:116 for young date rc for old date reported in this text,1,-2.096655117,147.3611729,discoidal technology with some platform prep of flakes in form of facetting and backing of tools,H. sapiens,Yes,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,3.2,True
Pavlides and Kennedy 2007,GFJ,2.0,4.7,Kennedy 1983:116 for young date rc for old date reported in this text,1,-2.208486974,147.0345098,discoidal technology  and backing of tools,H. sapiens,Yes,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,3.35,False
Braun et al. 2019,Bokol Dora 1,2580.0,2610.0,,1,11.26644461,40.86024391,Simple flake production on rotated cores. no platform prep facetting retouch. ,?,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2595.0,False
Roussell et al. 2016,Quincay cave,40.0,45.0,,1,46.65789566,0.254722053,Chatelperronian retouched bladelets from cores prepared by cresting some examples of distal convexities managed and core tablets. and debordantes,H. neanderthalensis,Yes,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,12,42.5,True
Otte 1990 and 1994,Rocourt,50.0,70.0,,1,50.66881222,5.4637326,Laminar flakes that are burinated and backed. produced through a recurrent blade production sequence with initial cresting lat convexity and distal convexity maintenance through debordantes. No sign of soft hammer or indirect hammer. ,H. neanderthalensis,Yes,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,11,60.0,True
Slimak 1999,Champ Grande,50.0,71.0,Slimak pers. comm. According to geological analyis.,1,45.92775906,4.035601641,Blades relying on initial shape of cobble with natural dihedral corner. shaping is slight some cresting to form corner better. Examples in fig. 8. 2 3 4. facetting performed. some bipolar percussion Slimak suggests is used to maintain distal convexity. Cautious in describing tablets as present. So no tablets. Soft hammer seems maybe but they don't say for sure present as far as I can tell. ,H. neanderthalensis,Yes,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,10,60.5,True
Smith et al. 1996,Shag River Mouth,0.55,0.75,,1,-45.4102294,170.9063198,blade reduction bidirectional no cresting initiation and retouch of burinated blades,H. sapiens,yes,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,10,0.65,True
Walter and Green 2011,Su'ena,0.45,0.6,,1,-10.27114228,161.7078245,"Chert ""tranchet"" adzes",H. sapiens,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,8,0.525,True
Araho et al. 2002,Willaumez Peninsula,3.5,6.0,,1,-5.198900938,150.0548634,Type 1. tools. Stemmed blades,H. sapiens,Yes,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,0,11,4.75,True
Araho et al. 2002,Willaumez Peninsula,3.5,6.0,,1,-5.127912458,150.0390031,Type 2. tools,H. sapiens,Yes,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,14,4.75,True
